Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Jimmy Jordan,JordJi20,http://www.pro-football-reference.com/players/J/JordJi20.htm,http://www.sports-reference.com/cfb/players/jimmy-jordan-1.html
Mike Current,CurrMi00,http://www.pro-football-reference.com/players/C/CurrMi00.htm,
George Goeddeke,GoedGe00,http://www.pro-football-reference.com/players/G/GoedGe00.htm,
Paul Naumoff,NaumPa00,http://www.pro-football-reference.com/players/N/NaumPa00.htm,http://www.sports-reference.com/cfb/players/paul-naumoff-1.html
Earl Denny,DennEa00,http://www.pro-football-reference.com/players/D/DennEa00.htm,http://www.sports-reference.com/cfb/players/earl-denny-1.html
Frank Nunley,NunlFr20,http://www.pro-football-reference.com/players/N/NunlFr20.htm,
Garry Lyle,LyleGa20,http://www.pro-football-reference.com/players/L/LyleGa20.htm,
Curg Belcher,,http://www.pro-football-reference.com,
Bill Tucker,TuckBi00,http://www.pro-football-reference.com/players/T/TuckBi00.htm,
Dennis Randall,RandDe20,http://www.pro-football-reference.com/players/R/RandDe20.htm,
Harold Akin,AkinHa20,http://www.pro-football-reference.com/players/A/AkinHa20.htm,
Harry Wilson,WilsHa00,http://www.pro-football-reference.com/players/W/WilsHa00.htm,http://www.sports-reference.com/cfb/players/harry-wilson-1.html
Vidal Carlin,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/vidal-carlin-1.html
Tom Rhoads,,http://www.pro-football-reference.com,
Leon Ward,,http://www.pro-football-reference.com,
Eppie Barney,BarnEp00,http://www.pro-football-reference.com/players/B/BarnEp00.htm,http://www.sports-reference.com/cfb/players/eppie-barney-1.html
Rocky Freitas,FreiRo00,http://www.pro-football-reference.com/players/F/FreiRo00.htm,
Henry King,KingHe20,http://www.pro-football-reference.com/players/K/KingHe20.htm,
Bill Fairband,FairBi20,http://www.pro-football-reference.com/players/F/FairBi20.htm,http://www.sports-reference.com/cfb/players/bill-fairband-1.html
Phil Clark,ClarPh20,http://www.pro-football-reference.com/players/C/ClarPh20.htm,
Billy Masters,MastBi00,http://www.pro-football-reference.com/players/M/MastBi00.htm,http://www.sports-reference.com/cfb/players/billy-masters-1.html
John Rowser,RowsJo20,http://www.pro-football-reference.com/players/R/RowsJo20.htm,http://www.sports-reference.com/cfb/players/john-rowser-1.html
Del Williams,WillDe20,http://www.pro-football-reference.com/players/W/WillDe20.htm,
Ben Hart,HartBe20,http://www.pro-football-reference.com/players/H/HartBe20.htm,http://www.sports-reference.com/cfb/players/ben-hart-1.html
Ron Widby,WidbRo20,http://www.pro-football-reference.com/players/W/WidbRo20.htm,
Louis Thompson,,http://www.pro-football-reference.com,
Carl Ward,WardCa20,http://www.pro-football-reference.com/players/W/WardCa20.htm,http://www.sports-reference.com/cfb/players/carl-ward-1.html
Bob Greenlee,,http://www.pro-football-reference.com,
